label,posture,four_class,activity_group,indoor_outdoor,activity,hand_gesture
elevator-standing-up,upright,sedentary,sedentary,indoor,standing and elevator up,free
bag-elevator-standing-up,upright,sedentary,sedentary,indoor,standing and elevator up with bag,free
shelf unload-standing,upright,sedentary,sedentary,unkown,standing and shelf loading or unloading,shelf loading or unloading
shelf reload-standing,upright,sedentary,sedentary,unkown,standing and shelf loading or unloading,shelf loading or unloading
lying,lying,sedentary,sleep,indoor,unkown,still
sitting-telling story,sitting,sedentary,sedentary,unkown,sitting and talking,talking
arms on desk-sitting-telling story,sitting,sedentary,sedentary,indoor,sitting and talking with arms on desk,arms on desk
reclining-web browsing,sitting,unkown,unkown,unkown,reclining and web browsing,free
arms on desk-reclining-web browsing,sitting,unkown,unkown,indoor,reclining and web browsing with arms on desk,arms on desk
biking-stationary,sitting,cycling,cycling,indoor,stationary biking,biking
treadmill,upright,unkown,unkown,indoor,unkown,unkown
treadmill-walking,upright,ambulation,ambulation,indoor,self-paced walking,free
arms on desk-treadmill-walking,upright,ambulation,ambulation,indoor,self-paced walking with arms on desk,arms on desk
1 mph-arms on desk-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 1 mph with arms on desk,arms on desk
2 mph-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 2 mph,free
2 mph-arms on desk-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 2 mph with arms on desk,arms on desk
3.5 mph-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph,free
3.5 mph-texting-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph and texting,using phone
dominant hand-treadmill-walking,upright,ambulation,ambulation,indoor,self-paced walking,free
3 mph-dominant hand-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph,free
3 mph-bag-dominant hand-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph with bag,free
jog/running,upright,ambulation,ambulation,unkown,running,free
5.5 mph 5%grade-jog/running-treadmill,upright,ambulation,ambulation,indoor,treadmill running at 5.5 mph,free
3 mph-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph,free
3 mph-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph,free
3 mph-phone talking-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph and talking and using phone,holding cellphone
3 mph-carrying drinking-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph carrying a drink,carrying a drink
3 mph-carrying drinking-dominant hand-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph carrying a drink,carrying a drink
3 mph-telling story-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph and talking,talking
laundry-standing,upright,sedentary,sedentary,unkown,standing naturally,laundry
standing-sweeping,upright,sedentary,sedentary,indoor,standing and sweeping,sweeping
orientationtest,unkown,unkown,unkown,unkown,unkown,unkown
lower body movement-orientationtest,unkown,unkown,unkown,unkown,unkown,unkown
sitting-supported,sitting,sedentary,sedentary,unkown,sitting still,free
dominant hand-sitting,sitting,sedentary,sedentary,unkown,sitting still,free
dominant hand-sitting-writing,sitting,sedentary,sedentary,unkown,sitting and writing,writing
arms on desk-dominant hand-sitting-writing,sitting,sedentary,sedentary,indoor,sitting and writing with arms on desk,writing
standing-telling story-upper body movement,upright,sedentary,sedentary,unkown,standing and talking,talking
standing-supported,upright,sedentary,sedentary,unkown,standing naturally,free
standing-supported-typing,upright,sedentary,sedentary,indoor,standing and keyboard typing,keyboard typing
standing-supported-typing-web browsing,upright,sedentary,sedentary,indoor,standing and keyboard typing and web browsing,keyboard typing
elevator,upright,sedentary,sedentary,indoor,elevator,free
elevator-standing,upright,sedentary,sedentary,indoor,standing and elevator,free
down-elevator,upright,sedentary,sedentary,indoor,elevator down,free
outdoors-standing-telling story,upright,sedentary,sedentary,outdoor,standing and talking,talking
outdoors-standing-telling story-waiting,upright,sedentary,sedentary,outdoor,standing and talking,talking
