HEADER_TIME_STAMP,MAGNITUDE,SAMPLE_COUNTS
2015-11-19 17:34:11.228,576,36
2015-11-19 17:34:12.229,1553,41
2015-11-19 17:34:13.245,459,43
2015-11-19 17:34:14.231,361,38
2015-11-19 17:34:15.234,331,39
2015-11-19 17:34:16.228,332,37
2015-11-19 17:34:17.318,281,38
2015-11-19 17:34:18.223,276,43
2015-11-19 17:34:19.228,325,39
2015-11-19 17:34:48.338,1707,39
2015-11-19 17:34:49.330,1942,40
2015-11-19 17:34:50.342,2104,38
2015-11-19 17:34:51.332,1811,39
2015-11-19 17:34:52.341,1685,41
2015-11-19 17:34:53.337,1650,40
2015-11-19 17:34:54.334,1472,39
2015-11-19 17:34:55.332,2576,39
2015-11-19 17:34:56.330,1622,37
2015-11-19 17:34:57.317,2508,38
2015-11-19 17:34:58.332,2121,39
2015-11-19 17:34:59.351,1776,40
2015-11-19 17:35:00.318,1416,38
2015-11-19 17:35:01.338,2163,41
2015-11-19 17:35:02.324,2537,37
2015-11-19 17:35:03.327,2166,42
2015-11-19 17:35:04.345,1760,37
2015-11-19 17:35:05.332,3183,39
2015-11-19 17:35:06.332,3169,40
2015-11-19 17:35:07.324,2545,43
2015-11-19 17:35:51.075,628,39
2015-11-19 17:35:52.104,767,41
2015-11-19 17:35:53.095,910,40
2015-11-19 17:35:54.091,583,40
2015-11-19 17:35:55.098,436,40
2015-11-19 17:35:56.092,536,41
2015-11-19 17:35:57.103,527,39
2015-11-19 17:35:58.085,350,39
2015-11-19 17:35:59.109,376,41
2015-11-19 17:36:00.102,367,38
2015-11-19 17:36:01.093,462,39
2015-11-19 17:36:02.111,399,39
2015-11-19 17:36:03.078,390,39
2015-11-19 17:36:04.080,355,40
2015-11-19 17:36:05.096,401,40
2015-11-19 17:36:06.088,424,38
2015-11-19 17:36:07.081,366,38
2015-11-19 17:36:08.086,429,41
2015-11-19 17:36:09.098,354,41
2015-11-19 17:36:10.093,335,39
2015-11-19 17:36:50.022,2216,41
2015-11-19 17:36:51.020,1659,40
2015-11-19 17:36:52.002,1843,39
2015-11-19 17:36:53.029,2716,42
2015-11-19 17:36:54.016,2892,40
2015-11-19 17:36:55.007,2170,40
2015-11-19 17:36:56.014,2171,41
2015-11-19 17:36:57.017,2702,39
2015-11-19 17:36:58.018,4120,40
2015-11-19 17:36:59.062,1599,39
2015-11-19 17:37:00.017,1810,39
